Date,EUR,GBP,JPY
18jul2003,.8927000000000001,.6267,118.85
19jul2003,.8872,.6287,118.49
20jul2003,.8874,.6285,118.57
21jul2003,.8879,.6287,118.62
22jul2003,.881,.6248,118.49
23jul2003,.8831,.6266000000000001,119.18
24jul2003,.8707,.6223,118.82
25jul2003,.8715000000000001,.6188,118.99
26jul2003,.8687,.6172,118.87
27jul2003,.8686,.6181,118.99
28jul2003,.8699,.6177,118.86
29jul2003,.8702,.6153,119.44
30jul2003,.8742,.616,119.97
31jul2003,.8817,.6189,120.31
01aug2003,.8904,.6209,120.59
02aug2003,.887,.6208,120.17
03aug2003,.8868,.621,120.17
04aug2003,.8869,.6209,120.25
05aug2003,.8805,.6207,120.4
06aug2003,.8783,.619,119.87
07aug2003,.8825,.6215000000000001,120.29
08aug2003,.8794,.6181,119.01
09aug2003,.8845,.6239,119.11
10aug2003,.8851,.6234,119.16
11aug2003,.885,.6238,119.12
12aug2003,.8805,.6219,118.61
13aug2003,.8863,.6241,118.78
14aug2003,.8833,.622,119.18
15aug2003,.8879,.6245000000000001,119.17
16aug2003,.8878,.6263,119.21
17aug2003,.8887000000000001,.6264,119.24
18aug2003,.8903,.6264,119.24
19aug2003,.8973,.6287,119.48
20aug2003,.8978,.63,118.4
21aug2003,.8997000000000001,.6272,118.21
22aug2003,.9158,.634,117.8
23aug2003,.9184,.635,117.62
24aug2003,.9196,.6346000000000001,117.6
25aug2003,.9202,.6356000000000001,117.67
26aug2003,.9199000000000001,.6366000000000001,117.48
27aug2003,.92,.6373,117.31
28aug2003,.9195,.6361,117.51
29aug2003,.92,.6344,117.39
30aug2003,.9102,.6347,116.98
31aug2003,.9107,.6341,116.98
01sep2003,.9103,.6337,116.8
02sep2003,.9119,.6369,116.61
03sep2003,.9246,.6378,116.13
04sep2003,.9226,.6365,116
05sep2003,.9142,.6327,116.78
06sep2003,.9006,.629,116.94
07sep2003,.9011,.6295,116.76
08sep2003,.9011,.6294,116.82
09sep2003,.9029,.6317,116.75
10sep2003,.8905,.6289,116.86
11sep2003,.892,.6285,117.15
